Product_ID,Product_Name,Category,Brand,Price
P078,Sql For Data Analytics,Books,Packt,799.0
P011,Lg Oled 48 Inch Tv,Electronics,Lg,79999.0
P005,Realme Narzo 60 Pro,Electronics,Realme,19999.0
P084,Nilkamal Study Table With Shelf,Furniture,Nilkamal,4999.0
P063,Cosco Football Size 5,Sports,Cosco,899.0
P068,Garmin Forerunner 255 Gps Watch,Sports,Garmin,34999.0
P031,Adidas Ultraboost Running Shoes,Fashion,Adidas,12999.0
P046,Milton Thermosteel Flask 1L,Home & Kitchen,Milton,999.0
P096,Haldiram Bhujia Sev 400G,Groceries,Haldiram,179.0
P012,Sony Bravia 43 Inch Tv,Electronics,Sony,44999.0
P082,Pepperfry Fabric 3-Seater Sofa,Furniture,Pepperfry,24999.0
P080,Ikigai By Hector Garcia,Books,Penguin,299.0
P001,Samsung Galaxy S24 Ultra,Electronics,Samsung,89999.0
P081,Wakefit Orthopaedic Memory Foam Mattress,Furniture,Wakefit,12999.0
P019,Samsung Galaxy Tab S9,Electronics,Samsung,73999.0
P070,Speedo Adult Swim Goggles,Sports,Speedo,799.0
P057,Dove Body Lotion 400Ml,Beauty,Dove,299.0
P077,Python Crash Course By Eric Matthes,Books,No Starch Press,699.0
P043,Instant Pot Duo 7-In-1,Home & Kitchen,Instant Pot,7999.0
P013,Boat Airdopes 141,Electronics,Boat,1499.0
P037,Titan Raga Watch,Fashion,Titan,6995.0
P065,Strauss Yoga Mat 6Mm,Sports,Strauss,699.0
P027,Wrangler Regular Fit Jeans,Fashion,Wrangler,2499.0
P023,Seagate 2Tb External Hard Drive,Electronics,Seagate,5999.0
P032,Puma Softride Running Shoes,Fashion,Puma,4999.0
P048,Whirlpool 265L Double Door Refrigerator,Home & Kitchen,Whirlpool,28999.0
P016,Canon Eos R50 Camera,Electronics,Canon,54999.0
P045,Pigeon Stainless Steel Cookware Set,Home & Kitchen,Pigeon,2999.0
P089,Aashirvaad Atta 10Kg,Groceries,Aashirvaad,499.0
P090,Fortune Sunflower Oil 5L,Groceries,Fortune,799.0
P010,Samsung 55 Inch 4K Smart Tv,Electronics,Samsung,59999.0
P034,Global Desi Printed Saree,Fashion,Global Desi,2499.0
P056,The Ordinary Niacinamide 10% Serum,Beauty,The Ordinary,699.0
P029,Van Heusen Slim Fit Shirt,Fashion,Van Heusen,1999.0
P041,Prestige Induction Cooktop,Home & Kitchen,Prestige,2999.0
P006,Dell Inspiron 15 Laptop,Electronics,Dell,62999.0
P054,L'Oreal Paris Revitalift Serum,Beauty,L'Oreal,1299.0
P040,Lavie Laptop Bag,Fashion,Lavie,1799.0
P036,Fossil Gen 6 Smartwatch,Fashion,Fossil,22495.0
P017,Nikon Z30 Mirrorless Camera,Electronics,Nikon,68999.0
P079,The Psychology Of Money,Books,Jaico,399.0
P035,Biba Embroidered Salwar Suit,Fashion,Biba,3499.0
P067,Skybags Pro Cycling Helmet,Sports,Skybags,2499.0
P008,Lenovo Ideapad Slim 5,Electronics,Lenovo,47999.0
P044,Bosch Mixer Grinder 750W,Home & Kitchen,Bosch,4999.0
P066,Decathlon Resistance Bands Set,Sports,Decathlon,999.0
P073,The Alchemist By Paulo Coelho,Books,Harpercollins,299.0
P028,Allen Solly Formal Shirt,Fashion,Allen Solly,1699.0
P020,Logitech Mx Master 3 Mouse,Electronics,Logitech,8995.0
P091,Tata Salt 1Kg,Groceries,Tata,25.0
P026,Levi'S 511 Slim Fit Jeans,Fashion,Levi'S,3999.0
P069,Fitbit Charge 6 Fitness Tracker,Sports,Fitbit,14999.0
P050,Dyson V15 Vacuum Cleaner,Home & Kitchen,Dyson,44900.0
P014,Sony Wh-1000Xm5 Headphones,Electronics,Sony,29990.0
P025,Dlink Wifi Router Ac1200,Electronics,Dlink,2499.0
P004,Redmi Note 13 Pro,Electronics,Xiaomi,24999.0
P018,Ipad Air 5Th Generation,Electronics,Apple,59900.0
P039,Wildcraft Backpack 30L,Fashion,Wildcraft,2299.0
P009,Asus Vivobook 15,Electronics,Asus,44999.0
